#time fluid_temperature fluid_vCM 
0.28  20.3223    1.44607 0.533564 -6.50968   
0.281  19.5706    1.36086 0.34897 -6.54439   
0.282  20.231    1.26208 0.143528 -6.55526   
0.283  20.7144    1.14999 -0.0750471 -6.54332   
0.284  20.743    1.02327 -0.299402 -6.51151   
0.285  20.4225    0.88296 -0.519546 -6.46043   
0.286  19.6208    0.736369 -0.718857 -6.38947   
0.287  19.9945    0.590862 -0.882299 -6.29826   
0.288  19.3246    0.449783 -1.00514 -6.18792   
0.289  18.7878    0.318339 -1.08722 -6.06389   
0.29  19.2918    0.205182 -1.13255 -5.93328   
0.291  21.0978    0.111881 -1.15084 -5.80059   
0.292  20.9424    0.0371426 -1.14561 -5.66781   
0.293  19.2682    -0.0185746 -1.11564 -5.53493   
0.294  19.8366    -0.0524402 -1.05966 -5.3993   
0.295  19.0531    -0.0597429 -0.976141 -5.25704   
0.296  18.0143    -0.041235 -0.864752 -5.10537   
0.297  17.5759    0.00165103 -0.721328 -4.94009   
0.298  17.4009    0.0717801 -0.543116 -4.75654   
0.299  15.9689    0.167422 -0.337678 -4.55253   
0.3  17.5737    0.280649 -0.116168 -4.32867   
0.301  17.0333    0.404611 0.111188 -4.08845   
0.302  15.7422    0.53092 0.327114 -3.84089   
0.303  14.6924    0.648015 0.503836 -3.5969   
0.304  13.9864    0.745112 0.620871 -3.36104   
0.305  14.4682    0.811951 0.671035 -3.13486   
0.306  15.0402    0.842517 0.654508 -2.91951   
0.307  15.9634    0.836443 0.577653 -2.7143   
0.308  16.5592    0.793765 0.447118 -2.52097   
0.309  17.9717    0.717672 0.275069 -2.3459   
0.31  19.331    0.607444 0.0724872 -2.19836   
0.311  21.7183    0.464838 -0.14612 -2.0868   
0.312  23.8796    0.304323 -0.355526 -2.01198   
0.313  24.6134    0.137224 -0.534565 -1.96702   
0.314  24.684    -0.0274123 -0.671573 -1.9443   
0.315  26.0307    -0.17575 -0.756191 -1.93818   
0.316  26.8831    -0.29408 -0.781468 -1.94203   
0.317  26.5054    -0.378801 -0.753049 -1.95051   
0.318  24.7644    -0.435358 -0.686879 -1.96077   
0.319  23.5198    -0.468832 -0.60306 -1.97029   
0.32  22.4813    -0.478882 -0.511154 -1.97777   
0.321  22.5141    -0.460474 -0.411066 -1.98169   
0.322  22.3428    -0.412948 -0.306389 -1.98314   
0.323  21.3029    -0.339141 -0.200142 -1.98391   
0.324  20.8307    -0.242197 -0.0925802 -1.98545   
